241 Brewhouse | Gangtok | Reshitang
33&Brew | Bengaluru | Brookefield
36 Downtown Brew Pub | Hyderabad | Jubilee Hills
7 Barrel Brew Pub | Gurugram | DLF Phase 1, Golf Course Road
7 Degrees Brauhaus | Gurugram | Golf Course Road, Sector 53
ABV - Artisanal Bier Village | Bengaluru | Whitefield
Adda Microbrewery & Kitchen | Chandigarh | Sector 9
Adda by Striker | Gurugram | Sector 29
Alchemy | Bengaluru | Residency Road
Arbor Brewing Company | Bengaluru | MG Road / Ashok Nagar
Arbor Brewing Company | packaged | 
Atlantis Brewery | Bengaluru | HSR Layout
Aurum Brew Works | Bengaluru | Sarjapur Road / Doddakannalli
BLR Brewing Co. | Bengaluru | Bellandur
BLR Brewing Co. | Bengaluru | Kanakapura Road
BLR Brewing Co. | Bengaluru | Whitefield
Babylon Brewery and Club | Hyderabad | Nanakramguda
Bangalore Brew Works | Bengaluru | Residency Road / Domlur
Batli 29 | Gurugram | Sector 29
BeeYoung Brewgarden | Delhi | Malviya Nagar
Beer House | Hyderabad | HITEC City
Beer Republic | Kolkata | Kankurgachi (Phool Bagan)
Beer Tales | Dehradun | Rajpur Road
Bier Loft Brewing Co | Bengaluru | Electronic City
Biergarten Brewery & Kitchen | Bengaluru | Bellandur
Biergarten Brewery & Kitchen | Bengaluru | Koramangala
Biergarten Brewery & Kitchen | Bengaluru | Nagawara / Hennur
Biergarten Brewery & Kitchen | Bengaluru | Whitefield
Big Barrel BrewPub | Bengaluru | Rajarajeshwari Nagar
Big Pitcher | Gurugram | Sector 29
Bira 91 | packaged | 
Black Brewhouse | Lucknow | 
Bombay Duck Brewing | packaged | 
Bottles and Barrels | Gurugram | Sector 30
Brahma Brews | Bengaluru | JP Nagar
Brahma Brews | Bengaluru | Varthur / Whitefield
Brew & Barrel | Faridabad | Sector 12
Brew Bros MicroBrewery | Chandigarh | Sector 80
Brew Meister | Bengaluru | Jayanagar
BrewDog | Gurugram | Golf Course Road
Brewer Street | Gurugram | Sohna Road, Sector 47
Broadway - The Brewery | Hyderabad | Jubilee Hills
Bronx: The Brew Bar | Gurugram | Sector 29
Brooks and Bonds Brewery | Bengaluru | Koramangala
Brother Barley Brewing Company | Bengaluru | HSR Layout
Brunit The Brewery | Vijayawada | Labbipet
Bumblebee Brauhaus | Bengaluru | Indiranagar
Byg Brewski Brewing Company | Bengaluru | Sarjapur Road / Kaikondrahalli
CAD Tech Bar and Craft Kitchen & Brewery | Noida | Sector 94
Candles Brewhouse | Bengaluru | Hebbal
Catamaran Brewing Company | Puducherry | Anna Salai
Chin Lung Brewery | Bengaluru | Indiranagar
Communiti | Bengaluru | Residency Road
Country Roads Micro Brewery and Restaurant | Kolkata | New Town, Rajarhat
Cu2 Brewhouse | Hyderabad | Kokapet
Culture Brew Exchange | Chandigarh | Sector 26
Curry and Hops Brewing | Chandigarh | Sector 41
District 6 | Bengaluru | Yeshwanthpur / Rajajinagar
Doolally Taproom | Mumbai | Andheri West
Doolally Taproom | Mumbai | Hiranandani Estate, Thane West
Doolally Taproom | Mumbai | Kemps Corner
Doolally Taproom | Mumbai | Khar West
Doolally Taproom | Mumbai | Sanpada, Palm Beach Road
Doolally Taproom | Pune | Koregaon Park Annexe, Ghorpadi
Doon Valley Brewery | Dehradun | 
Double Barrel Brewpub | Mysuru | Mysuru
Double Down Brewpub and Cafe | Kolkata | Bhawanipore
Downtown Diner and Fresh Beer Cafe | Gurugram | Sector 29
Downtown Diner and Fresh Beer Cafe | Jaipur | 
Drifters Tap Station (Drifters Brewing Company) | Nagpur | Ramdaspeth / Shankar Nagar
Dublin Square | Delhi | Rohini
Effingut Brewerkz | Pune | Koregaon Park
Effingut | Delhi | Saket
Effingut | Gurugram | Golf Course Road, Sector 42
Effingut | Mumbai | Colaba
Essence Brew | Puducherry | Ellaipillaichavady
Factory by Sutra | Gurugram | Sector 29
Flow Brew & Dine | Delhi | Saket
Forge Breu-Hous | Hyderabad | Jubilee Hills (CBI Colony)
Fort City Brewing | Delhi | Hauz Khas
Freemason's Brew Works | Guwahati | Ganeshguri
Gateway Taproom (Gateway Brewing Co.) | Mumbai | Bandra Kurla Complex
Geist Brewing Co. Hennur | Bengaluru | Hennur / Thanisandra
Geist Brewing Co. OMR | Bengaluru | Old Madras Road
Geist Brewing Taproom | Bengaluru | Rajajinagar
Goa Brewing Co | packaged | 
Gold Rush Brews | Bengaluru | KR Puram
Great State Aleworks | packaged | 
Great State Dive (Great State Aleworks) | Pune | Koregaon Park
HAPI Beer Co. | Mumbai | Bandra West (Reclamation)
High Brew | Bengaluru | JP Nagar
Hope Floats | Hyderabad | Jubilee Hills
Hops n Brew | Gurugram | Sector 29
Hops n Grains Kitchen & Brewery | Chandigarh | Sector 8
Hops n Grains Kitchen & Microbrewery | Chandigarh | Sector 67
Hops n Grains | Chandigarh | Sector 9
Howzatt | Gurugram | Sector 15
ICB Indian Craft Brewery | Bengaluru | Nagawara
Independence Brewing Company | Mumbai | Powai
Independence Brewing Company | Mumbai | Seven Bunglows, Andheri West (Versova)
Independence Brewing Company | Pune | Balewadi
Independence Brewing Company | Pune | Kalyani Nagar
Ironhill Bengaluru | Bengaluru | Banashankari / Kanakapura Road
Ironhill Bengaluru | Bengaluru | Marathahalli
Ironhill Bengaluru | Bengaluru | Whitefield
Ironhill Hyderabad | Hyderabad | Kukatpally
Ironhill Vijayawada | Vijayawada | Mogalrajapuram / Labbipet
Ironhill Visakhapatnam | Visakhapatnam | Siripuram
Jamming Goat 3.0 | Bengaluru | JP Nagar
Kati Patang | packaged | 
Kegs and Barrels Brewing Co. (KGB) | Bhubaneswar | Patia
Kling Brewery | Bengaluru | Church Street
Lagom Kitchen and Brewery | Gurugram | Sohna Road
Lighthouse | Jaipur | 
Lionsgate Breweries | Hyderabad | Kukatpally
Long Boat Brewing Co. | Bengaluru | Marathahalli
MYZ - UNO | Visakhapatnam | Siripuram
Mac's Brew House | Bengaluru | Indiranagar
MadMule, The Brew Club | Bhubaneswar | Kharvela Nagar
Maka di (Latambarcem Brewers) | packaged | 
Malibu The Brewhouse | Udaipur | 
Manhattan Bar & Brewery | Gurugram | Golf Course Road, Sector 43
Mannheim Craft Brewery | Bengaluru | Bellandur / Ecoworld
Mannheim Craft Brewery | Bengaluru | Whitefield
Medusa | packaged | 
Ministry of Beer | Delhi | Connaught Place
Ministry of Beer | Lucknow | Gomti Nagar
Motorworks & Brewing Company | Kolkata | Sector V, Salt Lake
Murphy's Brewhouse | Bengaluru | Domlur
Mythus Brewpub | Hyderabad | Narsingi
Noidawery | Noida | Sector 63
Old Mill Brewing Co. | Bengaluru | Varthur / Whitefield
Onegolf Brewery | Hyderabad | Nanakramguda
Open Tap | Gurugram | Sohna Road, Sector 49
Over The Moon | Hyderabad | Gachibowli
Peepai Kitchen & Brewery | Bengaluru | Hebbal / Byatarayanapura
Pier 33 | Hyderabad | Jubilee Hills
Prost Brew Pub | Bengaluru | Koramangala
Prost Brew Pub | Hyderabad | Jubilee Hills
Pune Beer Farm - Growler Station | Pune | Kharadi
Qizo | Chandigarh | Sector 26
Quaff Brewing Co | Gurugram | Cyber Hub
Red Rhino Craft Brewery | Hyderabad | Madhapur / HITEC City
Red Rhino Taproom | Hyderabad | Financial District
Retreat | Jaipur | 
Rhythm & Brews | Udaipur | Debari
Seven Rivers Brewing Co. | Bengaluru | MG Road
Seven Rivers Brewing Co. | Goa | Taj Holiday Village
ShakesBierre | Bengaluru | Brigade Road / MG Road
She Brews | Bengaluru | Electronic City
Shimla Brewing Company | Shimla | The Ridge
Simba | packaged | 
Sky Glass Brewing Co. | Lucknow | 
Soi 7 Pub & Brewery | Gurugram | Cyber Hub
Soul Brewing Co. | Jaipur | M.I. Road
Spindrift | Mangaluru | Bharath Mall
Striker Pub and Brewery | Gurugram | Golf Course Road, Sector 43
Susegado (Mopa Airport) | Goa | Manohar International Airport
Susegado Microbrewery | Goa | Khobra Vaddo
The Barge | Mysuru | Mysuru
The Beer Cartel | Hyderabad | Raidurgam / HITEC City
The Biere Club | Bengaluru | Lavelle Road / MG Road
The Brew Barrels | Chandigarh | Sector 59
The Brew Estate | Chandigarh | Sector 26
The Brew Estate | Chandigarh | Sector 80
The Brew Estate | Chandigarh | Sector 9
The Brew Estate | Dehradun | Rajpur Road
The Brew Estate | Ludhiana | Sarabha Nagar
The Brew Estate | Shimla | Lakkar Bazar, The Ridge
The Brew Factory | Bengaluru | Sahakara Nagar
The Brew Nest Microbrewery | Chandigarh | Sector 70
The BrewMaster Amritsar MicroBrewery | Amritsar | 
The Brewhive | Kolkata | Sector V, Bidhannagar
The GRID | Kolkata | Topsia
The Great Bear Kitchen & Microbrewery | Chandigarh | Sector 26
The Hoppery | Hyderabad | Jubilee Hills (Durgam Cheruvu)
The Yeastern Civilization | Shillong | Laitumkhrah
Three Monkeys Brewpub | Bengaluru | Old Madras Road / Indiranagar
Tiger Tiger Brewhouse | Bengaluru | Sarjapur Road
Tippsy Camel Brewers | Jaipur | 
Toit ORR East | Bengaluru | Mahadevapura / ORR East
Toit | Bengaluru | Indiranagar
Toit | Pune | Kalyani Nagar
Topchi Brewing Outpost | Nashik | Trambakeshwar Road
Topchi Brewing | Nashik | Vilholi
Toro Brew House & Kitchen (Zozo) | Bengaluru | Sanjaynagar / Hebbal
Tropika Brewing Co | Bengaluru | Marathahalli / Panathur
Twisted Barrel | Chandigarh | Sector 9
Uptown Fresh Beer Cafe | Gurugram | DLF Phase 4
Vapour Bar Exchange | Gurugram | Sector 29
Vapour Brewpub and Diner | Bengaluru | Sarjapur Road / Marathahalli
Vapour Pub & Brewery | Gurugram | MG Road
Vapour Pub and Brewery | Bengaluru | Indiranagar
Vault Brewery | Hyderabad | Jubilee Hills
Vault Brewery | Vijayawada | Gayatri Nagar
White Rhino | packaged | 
Windmills Craftworks | Bengaluru | Whitefield
Witlinger | packaged | 
Woodside Inn | Mumbai | Colaba
Woodside Inn | Mumbai | Pali Hill, Bandra West
XOOX Brewmill | Bengaluru | Koramangala
Xena | Hyderabad | Jubilee Hills
Yellow Submarine | Bengaluru | Bannerghatta Road
Zero40 Brewing | Hyderabad | Jubilee Hills
Zero40 Financial District | Hyderabad | Financial District
Zythum Brewing Co. | Hyderabad | Jubilee Hills
